unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1536537600,5399.07,1260.16945066,6855863.684454184,-174.39,17.53,4.35,5428.0,5475.0
1536624000,5443.97,1506.94363497,8154885.758385553,-167.65,12.88,4.03,5434.0,5402.0
1536710400,5418.0,1385.24658978,7549566.209369204,-131.13,9.09,3.56,5505.0,5455.0
1536796800,5450.49,1562.33306605,8685431.344099784,-53.63,5.58,2.89,5575.0,5499.0
1536883200,5559.99,1069.82509314,5979584.091338334,-23.59,1.99,2.54,5604.0,5636.0
1536969600,5586.8,389.74342478,2190778.9701623623,7.62,-1.01,2.1,5607.0,5733.0
1537056000,5618.1,342.72875647,1917704.483952238,34.53,-3.44,1.75,5475.0,5716.0
1537142400,5595.4,1555.91437571,8332761.675689934,38.74,-5.5,1.39,5402.0,5654.0
1537228800,5367.55,1273.87010646,6924337.521581428,35.39,-6.36,1.17,5455.0,5542.0
1537315200,5432.77,1996.61949352,10936762.802484894,7.02,-9.72,0.82,5499.0,5490.0
1537401600,5476.41,1333.21802336,7362016.592813686,-15.34,-12.05,0.53,5636.0,5629.0
1537488000,5524.1,3037.57674296,17460477.130812954,-28.91,-15.5,0.26,5733.0,5733.0
1537574400,5748.15,1081.81011235,6186179.674057746,-22.65,-17.65,-0.42,5716.0,5696.0
1537660800,5717.85,695.04125947,3972146.89704586,12.73,-19.05,-0.86,5654.0,5699.0
1537747200,5700.86,1399.06560517,7844798.689341069,43.57,-19.62,-1.35,5542.0,5693.0
1537833600,5607.22,2423.71729018,13274699.59831586,65.78,-19.67,-1.81,5490.0,5661.0
1537920000,5477.0,1803.63945168,9925427.90259504,41.64,-20.05,-2.44,5629.0,5636.0
1538006400,5503.0,1355.37825786,7798982.033552227,4.31,-21.47,-3.11,5733.0,5661.0
1538092800,5752.0,1269.91505104,7256891.461716549,-25.58,-21.49,-3.94,5696.0,5712.0
1538179200,5714.47,727.23132018,4128477.660035456,-22.93,-18.72,-4.41,5699.0,5718.0
1538265600,5697.94,905.79062274,5162200.395963761,-0.43,-16.4,-4.81,5693.0,5708.0
1538352000,5697.58,1200.55221361,6828801.018624362,17.17,-14.18,-5.24,5661.0,5730.0
1538438400,5689.66,1135.74079542,6396923.7413077,33.02,-11.55,-5.49,5636.0,5752.0
1538524800,5631.5,1508.9133787,8510527.97114238,34.75,-7.71,-5.82,5661.0,5710.0
1538611200,5640.17,1058.23200504,6012027.667033249,8.71,-3.35,-6.14,5712.0,5505.0
1538697600,5692.19,1017.95867828,5833788.850594503,-18.2,1.04,-6.5,5718.0,5351.0
1538784000,5723.84,2677.66139714,15293061.42055554,-8.87,6.76,-6.8,5708.0,5383.0
1538870400,5707.99,3988.34452841,22769299.37891155,0.62,8.91,-6.98,5730.0,5375.0
1538956800,5708.96,1409.17061196,8105408.442932724,5.72,9.94,-7.2,5752.0,5463.0
1539043200,5763.45,816.33874754,4685784.4108796,10.52,10.49,-7.45,5710.0,5572.0
1539129600,5739.98,1345.96216593,7643840.276911404,19.62,10.14,-7.88,5505.0,5606.0
1539216000,5678.58,3027.79928161,16139835.460586186,15.25,9.64,-8.26,5351.0,5606.0
1539302400,5330.54,1176.75554394,6320354.02650174,1.68,8.9,-8.78,5383.0,5574.0
1539388800,5371.0,326.08374155,1759498.9568425678,-43.13,5.63,-9.59,5375.0,5569.0
1539475200,5395.85,532.75268421,2852107.477498761,-66.17,2.88,-10.34,5463.0,5579.0
1539561600,5367.08,4771.1450887,26518930.92056145,-76.2,1.09,-11.01,5572.0,5586.0
1539648000,5560.99,1171.55876533,6540320.532155951,-78.03,-0.64,-11.49,5606.0,5588.0
1539734400,5592.65,891.77969457,5012015.9106100965,-39.09,-0.8,-11.41,5606.0,5606.0
1539820800,5618.69,1158.6059828,6479677.749706419,7.11,-0.88,-11.25,5574.0,5630.0
1539907200,5597.67,929.08855395,5157370.56297645,52.6,-2.37,-10.99,5569.0,5630.0
1539993600,5559.51,279.64450501,1559829.0844952788,48.26,-3.65,-10.86,5579.0,5632.0
1540080000,5577.89,360.15892588,2009726.4238922468,36.07,-4.96,-10.7,5586.0,5638.0
1540166400,5580.1,1268.46661111,7093772.675971564,22.66,-5.85,-10.52,5588.0,5571.0
1540252800,5601.39,922.51137966,5142613.486825042,-1.12,-5.21,-10.1,5606.0,5521.0
1540339200,5574.6,947.34131824,5339859.861697043,-2.53,-4.56,-9.21,5630.0,5554.0
1540425600,5636.67,967.23869321,5438299.5525732245,-3.72,-4.16,-8.49,5630.0,5571.0
1540512000,5630.32,760.5030246,4282012.2800103,6.1,-3.94,-7.81,5632.0,5573.0
1540598400,5630.37,251.37101259,1416312.2647864665,11.59,-4.67,-6.97,5638.0,5576.0
1540684800,5643.0,408.80561776,2302515.8809096483,10.47,-5.29,-6.06,5571.0,5603.0
1540771200,5632.24,1556.38952737,8575690.731913425,10.8,-4.17,-5.14,5521.0,5631.0
1540857600,5509.99,919.89819004,5089796.68549132,7.97,-3.34,-4.26,5554.0,5633.0
1540944000,5533.0,722.40512394,4027625.287502682,-6.79,-3.36,-3.71,5571.0,5667.0
1541030400,5575.3,354.43608952,1973138.6216360491,-19.64,-3.16,-3.2,5573.0,5668.0
1541116800,5566.99,1098.43846949,6129286.6597542,-17.6,-2.66,-2.65,5576.0,5616.0
1541203200,5580.0,277.79794099,1547898.4611345094,-15.17,-2.57,-2.16,5603.0,5597.0
1541289600,5572.03,606.71283916,3418717.640355551,-9.08,-2.31,-1.92,5631.0,5612.0
1541376000,5634.82,619.72105255,3486674.5858568097,-0.24,-1.71,-1.66,5633.0,5627.0
1541462400,5621.12,1157.83725147,6535956.549430606,16.33,-0.44,-1.4,5667.0,5593.0
1541548800,5649.66,1241.64183647,7058944.91944415,13.87,0.68,-1.29,5668.0,5267.0
1541635200,5695.86,672.87184565,3795367.288981108,13.79,2.02,-1.45,5616.0,4948.0
1541721600,5640.26,913.72998856,5109568.9587276345,20.54,4.07,-1.38,5597.0,4876.0
1541808000,5591.99,314.41101562,1761292.7801813656,15.83,5.62,-1.56,5612.0,4828.0
1541894400,5601.88,422.17331302,2373124.8488811543,5.2,6.49,-1.72,5627.0,4850.0
1541980800,5620.76,755.21663752,4253757.7108314,-5.95,5.06,-1.83,5593.0,4505.0
1542067200,5639.98,873.82949287,4847053.552295531,-7.16,3.9,-1.96,5267.0,3988.0
1542153600,5556.04,5143.11225116,25597269.67402332,-7.77,2.93,-2.09,4948.0,3916.0
1542240000,4970.31,3270.83586041,16113445.782723822,-13.97,1.12,-2.25,4876.0,3865.0
1542326400,4926.4,1613.79863057,7786578.39250025,-72.99,-3.23,-2.81,4828.0,3766.0
1542412800,4832.84,637.55094211,3074908.1937965304,-118.74,-7.37,-3.24,4850.0,3572.0
1542499200,4832.0,419.8645317,2043728.395857603,-155.91,-11.64,-3.85,4505.0,3417.0
1542585600,4875.0,5122.33486616,21177320.260513958,-164.65,-15.72,-4.39,3988.0,3382.0
1542672000,4144.92,7806.31111708,29905665.6370888,-138.59,-19.44,-5.05,3916.0,3323.0
1542758400,3843.95,4216.96052237,16813485.46834665,-161.37,-27.43,-6.13,3865.0,3529.0
1542844800,3989.97,2403.54637313,8988542.371594261,-175.0,-36.72,-7.48,3766.0,3731.0
1542931200,3739.7,2203.93654031,8359839.848511473,-195.51,-44.14,-8.58,3572.0,3624.0
1543017600,3790.86,3173.96962541,10641241.00432709,-214.09,-52.65,-9.76,3417.0,3598.0
1543104000,3351.95,5384.86305633,18754185.658063877,-198.18,-59.58,-10.84,3382.0,3645.0
1543190400,3482.73,5884.57103435,19309219.472143687,-192.2,-68.57,-12.24,3323.0,3505.0
1543276800,3296.02,3375.13781655,11304787.856887069,-113.2,-75.7,-13.39,3529.0,3418.0
1543363200,3337.22,3747.66999361,13941932.003428176,-108.79,-82.99,-14.52,3731.0,3355.0
1543449600,3725.45,2432.31097934,9087235.434363209,-112.63,-89.05,-15.62,3624.0,3143.0
1543536000,3735.92,2251.64351151,7909753.458713248,-35.93,-92.42,-16.4,3598.0,3006.0
1543622400,3522.65,1229.51968733,4515706.136444383,15.6,-94.77,-17.1,3645.0,2982.0
1543708800,3672.73,784.87644368,2839761.460878608,51.71,-97.41,-17.81,3505.0,3050.0
1543795200,3622.87,2853.59596247,9664330.518016398,50.78,-98.22,-18.28,3418.0,3058.0
1543881600,3386.41,2962.0388804,10218945.276213586,51.74,-98.42,-18.79,3355.0,2991.0
1543968000,3449.97,1792.27640146,5842588.07282741,-4.31,-99.33,-19.34,3143.0,2994.0
1544054400,3256.73,3857.70810913,11688855.5706639,-50.9,-98.43,-20.24,3006.0,2952.0
1544140800,3034.17,4493.93009328,13378924.22000482,-66.76,-97.9,-21.36,2982.0,2856.0
1544227200,2972.69,1743.34383791,5214969.022970458,-88.23,-97.55,-22.65,3050.0,2826.0
1544313600,2995.0,1179.79033402,3663956.861332512,-121.69,-96.11,-24.07,3058.0,2830.0
1544400000,3105.49,2008.16466457,6046583.80502027,-111.67,-93.71,-25.42,2991.0,2965.0
1544486400,3014.5,1751.40858511,5195886.335359986,-72.74,-89.75,-26.61,2994.0,3164.0
1544572800,2965.11,2280.66540591,6896207.634428481,-58.86,-85.19,-27.85,2952.0,3233.0
1544659200,3023.54,2687.60112341,7739565.583117479,-27.91,-79.68,-29.06,2856.0,3404.0
1544745600,2878.98,2304.02881349,6527129.306312092,-0.98,-72.48,-30.11,2826.0,3470.0
1544832000,2832.61,700.04576226,1973429.00381094,-13.02,-65.62,-31.2,2830.0,3449.0
1544918400,2824.5,549.69356843,1558381.2664990502,-33.26,-61.91,-32.26,2965.0,3494.0
1545004800,2834.19,3004.94002903,9302122.403265558,-46.17,-57.61,-33.29,3164.0,3518.0
1545091200,3094.49,2738.21449807,8853715.375914557,-36.18,-52.95,-34.44,3233.0,3438.0
1545177600,3235.85,3993.8794164,12904264.333182566,-1.61,-45.73,-35.31,3404.0,3352.0
1545264000,3242.16,3839.81125781,13694917.239654832,38.2,-36.53,-36.01,3470.0,3263.0
1545350400,3553.88,2730.30342092,9246582.080458716,77.36,-31.59,-36.63,3449.0,3287.0
1545436800,3386.62,783.85726963,2751887.716490041,121.46,-26.31,-36.81,3494.0,3340.0
1545523200,3512.0,643.55035049,2236968.1472962303,116.91,-20.98,-37.11,3518.0,3326.0
1545609600,3486.67,2730.10494144,9691872.542112,104.85,-16.3,-37.29,3438.0,3304.0
1545696000,3554.04,1645.00355954,5463056.82123234,66.9,-11.33,-37.51,3352.0,3288.0
1545782400,3334.72,843.74147039,2842168.455252827,50.06,-8.81,-37.76,3263.0,3389.0
1545868800,3370.28,2727.18392303,8604074.374285039,13.5,-6.9,-38.11,3287.0,3385.0
1545955200,3156.97,2860.06222629,9771087.989274891,-21.88,-5.98,-38.21,3340.0,3346.0
1546041600,3416.37,2102.03617016,6858376.4734661365,-40.16,-6.18,-38.46,3326.0,3355.0
1546128000,3278.34,731.08640058,2466539.2982768044,-40.36,-1.95,-38.49,3304.0,3450.0
1546214400,3373.8,2074.48528756,6708615.736881657,-38.5,1.59,-38.58,3288.0,3523.0
1546300800,3233.87,715.11531146,2390129.9054927584,-21.69,4.49,-38.57,3389.0,3497.0
