unix,open,volume_btc,volume_eur,7_days_a,30_days_a,90_days_a,next_day_value,next_week_value
1546387200,3343.81,1119.02516755,3841926.7272460647,-6.22,7.58,-38.67,3385.0,3483.0
1546473600,3445.36,2205.69894119,7335228.28484264,1.14,11.24,-38.64,3346.0,3312.0
1546560000,3333.83,1649.71410764,5540977.25903585,24.13,14.04,-38.46,3355.0,3175.0
1546646400,3366.7,430.07214292,1437731.17378156,2.02,16.54,-38.3,3450.0,3179.0
1546732800,3349.99,817.53972625,2902266.0281875,14.17,17.96,-38.09,3523.0,3124.0
1546819200,3549.7,1679.62120952,5873820.128024488,6.58,17.7,-37.85,3497.0,3133.0
1546905600,3498.68,2099.35870521,7338350.34123566,31.47,18.16,-37.39,3483.0,3175.0
1546992000,3497.83,1711.69087024,5936725.912888202,24.62,18.18,-36.94,3312.0,3157.0
1547078400,3460.6,6263.3548287,19819321.58510027,23.93,18.74,-36.51,3175.0,3182.0
1547164800,3164.73,2176.33557694,6930431.827986582,28.26,18.26,-36.32,3179.0,3196.0
1547251200,3184.3,651.90477941,2069328.3031855747,-15.59,15.33,-36.29,3124.0,3219.0
1547337600,3174.0,935.38202074,2876150.052652182,-46.61,12.84,-36.2,3133.0,3183.0
1547424000,3072.4,1774.78495706,5666888.36789258,-74.61,9.21,-36.09,3175.0,3116.0
1547510400,3202.08,2119.71750467,6670729.790021443,-78.67,4.48,-35.88,3157.0,3137.0
1547596800,3146.95,2248.91603088,7122317.069796961,-59.08,0.42,-35.51,3182.0,3134.0
1547683200,3168.0,1941.13374663,6202621.1286316365,-34.93,-4.1,-35.12,3196.0,3146.0
1547769600,3203.0,1712.28065543,5458921.957576383,-1.31,-6.82,-34.69,3219.0,3149.0
1547856000,3188.02,683.1162452,2220052.654113028,4.24,-8.37,-34.22,3183.0,3128.0
1547942400,3248.67,1193.86767511,3720819.934924577,9.61,-9.97,-33.71,3116.0,3114.0
1548028800,3117.61,1792.35379524,5581784.036212312,19.88,-9.0,-33.12,3137.0,3055.0
1548115200,3119.72,1813.67323776,5720416.075556928,-1.07,-9.89,-32.57,3134.0,2989.0
1548201600,3147.27,1841.42318751,5746731.897813083,-4.89,-9.78,-31.99,3146.0,2988.0
1548288000,3128.1,1766.34634128,5588313.564151425,-10.68,-9.5,-31.31,3149.0,2990.0
1548374400,3163.16,1713.65564257,5371727.796538476,-15.54,-8.72,-30.61,3128.0,2993.0
1548460800,3134.39,713.5546976,2228053.136615072,-10.22,-9.04,-29.83,3114.0,3016.0
1548547200,3122.63,516.8311823,1605267.315600154,-8.69,-9.23,-29.03,3055.0,3008.0
1548633600,3105.89,1803.70940992,5420146.7768096,2.15,-10.86,-28.21,2989.0,2988.0
1548720000,3005.0,2345.3918678,6974491.797276859,-3.02,-10.79,-27.45,2988.0,2999.0
1548806400,2977.39,1998.93053413,5995992.030176348,-18.28,-12.18,-26.7,2990.0,2989.0
1548892800,2999.62,2312.755609,6893723.153970659,-28.46,-12.98,-25.9,2993.0,2965.0
1548979200,2983.91,1327.52525302,3985921.1226976095,-32.94,-14.41,-25.05,3016.0,3082.0
1549065600,3003.18,622.52438163,1885526.7480562087,-29.5,-15.09,-24.16,3008.0,3201.0
1549152000,3029.68,499.33110012,1491661.7820104784,-21.7,-14.79,-23.22,2988.0,3213.0
1549238400,2985.55,993.53957004,2970991.3116863123,-8.06,-14.88,-22.17,2999.0,3211.0
1549324800,2987.14,1287.130841,3874212.34617636,1.78,-14.9,-21.12,2989.0,3183.0
1549411200,3009.99,1619.51553187,4806495.366415698,1.67,-14.85,-20.0,2965.0,3177.0
1549497600,2967.16,1145.69363257,3393636.195162946,0.71,-13.12,-18.79,3082.0,3169.0
